"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha82",0.0407768562006772,0.038,0.537,0.96,-0.003,0.1368,729.144,-0.221058806108499,0.315559658995697,0.0400879979485874
"alpha83",-0.00499709570831689,0.014,0.506,0.92,0.019,0.1292,777.755,-0.23303564963161,0.273234033798096,0.0158387063240683
"alpha84",-0.0464334910290286,-0.036,0.514,0.96,0.011,0.1311,780.032,-0.292618143552504,0.220987180259257,-0.036236877286476
"alpha85",-0.00512549018791457,-0.001,0.514,0.94,0.004,0.1312,779.12,-0.254082289670118,0.26029305726374,0.000215476463139483
"alpha86",-0.0020204483251752,0.008,0.506,0.97,0.01,0.1288,833.131,-0.239192729922593,0.266390313794084,0.00912921482373882
"alpha87",0.00101646199660054,-0.009,0.516,0.91,-0.01,0.1316,746.809,-0.264830615851461,0.251075485600682,-0.00833526382092474
"alpha88",0.04169455413773,0.038,0.529,0.96,-0.004,0.1347,753.875,-0.217423717501589,0.311450541778113,0.0403010604942966
"alpha89",-0.00712726941802482,-0.006,0.52,0.96,0.001,0.1324,726.307,-0.261133868511256,0.25869169815691,-0.00457758680002756
"alpha9",0.0698295413981204,0.061,1.441,0.95,-0.009,0.366,1128.646,-0.661362250115686,0.779142190294721,0.0609871697337902
"alpha90",0.00802607100740454,0.011,0.503,0.96,0.003,0.1283,792.053,-0.236014480622226,0.266869393715928,0.0118936124356532
"alpha91",-0.0463902769234883,-0.033,0.506,0.94,0.013,0.1289,787.844,-0.285463320377181,0.22035203712029,-0.0330850431791829
"alpha92",0.0463872535750094,0.054,0.529,0.93,0.008,0.135,731.141,-0.199689402756242,0.329519087432718,0.0567871390327437
"alpha93",-0.0323514968593745,-0.034,0.534,0.98,-0.002,0.1358,734.24,-0.29883545691189,0.234909092709247,-0.0336339214321567
"alpha94",-0.0171834941396699,-0.017,0.517,0.97,0,0.1317,741.749,-0.276015225151422,0.241483764759951,-0.0172341808036331
"alpha95",0.0167775437927999,0.001,0.508,0.94,-0.016,0.1294,805.914,-0.250879103468482,0.257431405574381,0.00183093326091322
"alpha96",0.00404561464642342,-0.009,0.527,0.95,-0.013,0.1342,748.178,-0.26695095584801,0.259874536901846,-0.00769512923923739
"alpha97",0.00224998629776098,0.025,0.986,0.95,0.022,0.251,1326.315,-0.469075834117672,0.516713340895698,0.0242083547889943
"alpha98",0.0509351196051347,0.02,0.992,0.91,-0.03,0.253,1267.502,-0.473832304974184,0.518195918592416,0.020738979569182
"alpha99",0.0382605800284761,0.017,0.988,0.97,-0.021,0.252,1262.8,-0.475708514391464,0.512657782284019,0.0177309773616106
"ar_1",0.35,0.367,0.367,0.97,0.017,0.094,143.862,0.178884013855123,0.545971205185463,0.365540293524831
"beta1",0.5,0.499,0.456,0.98,-0.001,0.1161,858.637,0.268717681385601,0.724573998888554,0.498408987985262
"beta2",0.18,0.187,0.188,0.97,0.007,0.0479,283.832,0.0987731748419123,0.286911215488682,0.188215043877381
"beta3",0.05,0.044,0.314,0.93,-0.006,0.0802,785.272,-0.114056158822322,0.200287389358139,0.0438394519869606
"beta4",0.1,0.104,0.13,0.93,0.004,0.0331,284.164,0.03906995065364,0.168714608375858,0.103962078520623
"cuts4",1.5,1.54,0.358,0.94,0.04,0.0918,150.831,1.38513828348926,1.74306913612629,1.54608452859633
"cuts5",1.9,1.972,0.541,0.94,0.072,0.139,112.408,1.73488138176903,2.27593681896921,1.98063136102236
"sig_alpha1",0.22,0.298,0.49,0.9,0.078,0.1275,592.572,0.135929983413396,0.626105961623772,0.31936578261543
"sig_alpha11",0.18,0.199,0.263,0.94,0.019,0.0678,819.479,0.101314883031311,0.364087899165936,0.207855973139384
"sig_alpha16",0.04,0.044,0.045,0.96,0.004,0.0116,1310.917,0.0273113961784897,0.0724643753834619,0.0455074348869185
"sig_alpha3",0.075,0.064,0.257,0.98,-0.011,0.0651,849.336,-0.0477727750799081,0.209057506198202,0.0684214271150614
"sig_alpha6",0.05,0.062,0.1,0.97,0.012,0.026,206.059,0.0299602793126185,0.130047039689921,0.0669947935983084
"sig_alpha8",0.005,0.006,0.044,0.97,0.001,0.0109,887.446,-0.0145582462781951,0.02910864915396,0.00610235565622478
"sigma1",0.3,0.336,0.326,0.96,0.036,0.0841,135.471,0.213805742497744,0.539924219199873,0.346693362148639
"sigma2",0.025,0.028,0.084,0.97,0.003,0.0214,526.646,-0.0110024875240649,0.0733363114757848,0.0285257643293209
"sigma3",0.025,0.028,0.084,0.97,0.003,0.0214,526.646,-0.0110024875240649,0.0733363114757848,0.0285257643293209
"sigma4",0.13,0.139,0.096,0.98,0.009,0.0247,195.108,0.104221327563952,0.200424260490312,0.142712643375741
