"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha88",0.04169455413773,0.043,0.515,0.95,0.001,0.1309,809.729,-0.206073182283244,0.309016008426158,0.0448280860561511
"alpha89",-0.00712726941802482,-0.007,0.504,0.94,0,0.1285,775.479,-0.255631005922295,0.247969584211819,-0.00632724919384712
"alpha9",0.0698295413981204,0.048,1.392,0.94,-0.022,0.3551,1259.75,-0.652045959579436,0.739930739560166,0.046723976064065
"alpha90",0.00802607100740454,0.007,0.488,0.95,-0.001,0.1243,865.523,-0.231939086888475,0.256239306540399,0.00842622184379197
"alpha91",-0.0463902769234883,-0.032,0.5,0.95,0.015,0.1273,850.084,-0.281638371168264,0.21883817255691,-0.0317251239042263
"alpha92",0.0463872535750094,0.056,0.512,0.93,0.01,0.1306,770.734,-0.188433839801893,0.323361869987581,0.0585135110144537
"alpha93",-0.0323514968593745,-0.032,0.511,0.98,0,0.1307,765.988,-0.287372902046848,0.22361162235348,-0.0319514864739959
"alpha94",-0.0171834941396699,-0.018,0.503,0.96,-0.001,0.1285,785.52,-0.26743099272354,0.235727992113951,-0.0178282114152873
"alpha95",0.0167775437927999,-0.002,0.496,0.95,-0.019,0.1262,858.121,-0.247988796033727,0.248261750065783,-0.00154327731141476
"alpha96",0.00404561464642342,-0.007,0.514,0.94,-0.011,0.1307,802.161,-0.260549552197069,0.253358159376059,-0.00651197491858599
"alpha97",0.00224998629776098,0.027,0.982,0.96,0.025,0.2502,1409.652,-0.462504130954217,0.519541844448535,0.0274433304187172
"alpha98",0.0509351196051347,0.023,0.986,0.92,-0.027,0.2516,1339.751,-0.470720784338728,0.515342514776748,0.023031690741458
"alpha99",0.0382605800284761,0.014,0.979,0.97,-0.025,0.2504,1358.316,-0.475690789140301,0.503570510577553,0.0143449725310522
"ar_1",0.35,0.356,0.359,0.95,0.006,0.0919,151.126,0.174596888370957,0.533544236336993,0.355691398773742
"beta1",0.5,0.5,0.442,0.98,0,0.1124,877.384,0.277009248461735,0.718691193175556,0.499471795241174
"beta2",0.18,0.186,0.182,0.98,0.006,0.0464,277.947,0.0998571818500673,0.28210572640708,0.187022753457118
"beta3",0.05,0.043,0.31,0.93,-0.007,0.079,832.233,-0.111406742950103,0.198100921836989,0.0430932121545187
"beta4",0.1,0.104,0.129,0.94,0.004,0.0328,282.243,0.0393631797083008,0.168204987999608,0.103703614390306
"cuts4",1.5,1.533,0.353,0.93,0.033,0.0903,155.607,1.38159276507975,1.73438688502663,1.53962379246254
"cuts5",1.9,1.962,0.535,0.94,0.062,0.1365,116.754,1.73068120618519,2.26593738807084,1.97105516299588
"sig_alpha1",0.22,0.273,0.431,0.93,0.053,0.1118,621.932,0.127494017976154,0.558615798454171,0.291187055508683
"sig_alpha11",0.18,0.191,0.242,0.93,0.011,0.0621,969.862,0.09985764855763,0.341865997746395,0.198668723475142
"sig_alpha16",0.04,0.042,0.041,0.94,0.002,0.0106,1474.823,0.0268546111505521,0.0679854463091918,0.0434666582644064
"sig_alpha3",0.075,0.064,0.23,0.96,-0.011,0.058,960.049,-0.035787043137473,0.194183286634861,0.0682996504820782
"sig_alpha6",0.05,0.057,0.086,0.95,0.007,0.0224,190.21,0.0285523641691349,0.1148481836706,0.060955352122546
"sig_alpha8",0.005,0.006,0.038,0.96,0.001,0.0096,963.213,-0.012113939569317,0.0259231046513669,0.00591394387616602
"sigma1",0.3,0.329,0.311,0.95,0.029,0.0801,141.646,0.213090686349799,0.523629700653536,0.339184897663323
"sigma2",0.025,0.026,0.082,0.97,0.001,0.0208,541.229,-0.0115832020490416,0.0708490562419956,0.0271763957144702
"sigma3",0.025,0.026,0.082,0.97,0.001,0.0208,541.229,-0.0115832020490416,0.0708490562419956,0.0271763957144702
"sigma4",0.13,0.137,0.092,0.94,0.007,0.0236,207.577,0.10344395703863,0.19522090630257,0.140454729706297
