"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha79",0.0115929247730122,0.002,0.469,0.92,-0.009,0.1192,503.303,-0.2257995597585,0.243354577590998,0.00403600083011077
"alpha8",0.0103681220649985,0.044,1.301,0.87,0.034,0.3316,963.262,-0.61281576744387,0.688426752839594,0.0427098609465085
"alpha80",0.000725358922204077,-0.021,0.472,0.93,-0.022,0.1203,503.441,-0.253378482422022,0.218530359136007,-0.0205831110304594
"alpha81",0.00162979291664708,-0.005,0.467,0.91,-0.006,0.1194,535.411,-0.233487107198953,0.233868602850346,-0.00322705315403313
"alpha82",0.0407768562006772,0.039,0.494,0.91,-0.002,0.1261,531.878,-0.197378959228785,0.296796043899217,0.0419254440076099
"alpha83",-0.00499709570831689,0.009,0.468,0.87,0.014,0.119,506.365,-0.218266163457846,0.249321625502025,0.0104766590065118
"alpha84",-0.0464334910290286,-0.035,0.476,0.95,0.011,0.1215,526.351,-0.273829576725808,0.202537542372815,-0.0352339757136633
"alpha85",-0.00512549018791457,-0.002,0.472,0.89,0.004,0.1198,571.887,-0.231549104253331,0.240134634711057,-0.000518912251315584
"alpha86",-0.0020204483251752,0.006,0.461,0.93,0.009,0.1176,558.024,-0.220324219870675,0.240761234820303,0.00776424105034311
"alpha87",0.00101646199660054,-0.013,0.47,0.88,-0.014,0.1197,521.214,-0.24366616857199,0.2266812334462,-0.0117764398371159
"alpha88",0.04169455413773,0.045,0.483,0.93,0.003,0.1235,534.167,-0.188018140729455,0.295284046623427,0.0473098551927536
"alpha89",-0.00712726941802482,-0.005,0.476,0.86,0.002,0.1216,489.881,-0.239903719837759,0.236198691692222,-0.0047886752662906
"alpha9",0.0698295413981204,0.07,1.304,0.89,0,0.3323,962.157,-0.586900068618919,0.716837610491245,0.068292204265771
"alpha90",0.00802607100740454,0.011,0.456,0.9,0.003,0.1159,555.834,-0.212262543887824,0.244023890442262,0.0122059569598708
"alpha91",-0.0463902769234883,-0.038,0.471,0.93,0.008,0.1199,538.124,-0.274370097418786,0.196248142183957,-0.0385293200784492
"alpha92",0.0463872535750094,0.059,0.479,0.91,0.013,0.1226,514.987,-0.169781255843781,0.30947940591178,0.0620134425939739
"alpha93",-0.0323514968593745,-0.033,0.481,0.97,0,0.1226,526.951,-0.274851643034195,0.206515106112804,-0.0331974902299306
"alpha94",-0.0171834941396699,-0.018,0.477,0.95,-0.001,0.1217,527.867,-0.256332214750702,0.221029843113739,-0.0183109362672194
"alpha95",0.0167775437927999,-0.003,0.46,0.91,-0.02,0.1177,571.452,-0.230067789536743,0.230163572868522,-0.00212056489140771
"alpha96",0.00404561464642342,-0.011,0.484,0.92,-0.015,0.1235,524.612,-0.248501678926218,0.235290333724007,-0.0102366903470021
"alpha97",0.00224998629776098,0.034,0.81,0.91,0.032,0.2072,1238.571,-0.370489782915169,0.439706227992168,0.0341567570371265
"alpha98",0.0509351196051347,0.032,0.81,0.86,-0.019,0.2072,1214.495,-0.372786226755215,0.436761526234135,0.0322228654707423
"alpha99",0.0382605800284761,0.011,0.807,0.93,-0.027,0.2066,1218.163,-0.393714094125796,0.41340221480623,0.0110678548972452
"beta1",0.5,0.501,0.42,0.98,0.001,0.1069,489.439,0.289030373082207,0.70940301957985,0.500831208361894
"beta2",0.18,0.188,0.18,0.96,0.008,0.0457,145.42,0.103640636717265,0.283145165008437,0.189073551540018
"beta3",0.05,0.044,0.306,0.92,-0.006,0.0779,375.327,-0.109034634191963,0.197419540521235,0.0443647040759001
"beta4",0.1,0.103,0.126,0.94,0.003,0.0321,132.222,0.0408526978262461,0.16721484310284,0.1035548442677
"cuts4",1.5,1.537,0.348,0.94,0.037,0.0894,117.541,1.38609931458675,1.73447277837851,1.54312464816564
"cuts5",1.9,1.973,0.527,0.93,0.073,0.1354,84.981,1.74165057671694,2.26861790216458,1.98104669586146
"sig_alpha1",0.22,0.335,0.455,0.71,0.115,0.1179,513.572,0.176147382614395,0.631504185967008,0.352411765490023
"sig_alpha11",0.18,0.237,0.241,0.75,0.057,0.062,1540.457,0.14809820283502,0.389105552849621,0.244841008757309
"sig_alpha16",0.04,0.045,0.042,0.94,0.005,0.0107,1530.408,0.0296315119004776,0.0711518364504577,0.0463602121057199
"sig_alpha3",0.075,0.08,0.235,0.95,0.005,0.0594,1069.227,-0.0220766737790365,0.212452358170216,0.0840616548544744
"sig_alpha6",0.05,0.065,0.091,0.94,0.015,0.0236,121.016,0.0343752463348879,0.125684405241537,0.0687249935152559
"sig_alpha8",0.005,0.006,0.039,0.94,0.001,0.0098,866.645,-0.0118113642991591,0.0272574462857626,0.00674633961927434
"sigma1",0.3,0.247,0.207,0.89,-0.053,0.0534,119.987,0.166680882072166,0.374096589491467,0.25328852505189
"sigma2",0.025,0.018,0.058,0.94,-0.007,0.0149,584.753,-0.0101341036954612,0.0483347002832007,0.0183792736719545
"sigma3",0.025,0.018,0.058,0.94,-0.007,0.0149,584.753,-0.0101341036954612,0.0483347002832007,0.0183792736719545
"sigma4",0.13,0.1,0.038,0.28,-0.03,0.0098,1598.551,0.0836885536001534,0.121922871077192,0.101023422615802
